page	ts	digest	url	source	http	compression	bytes	cdx_len	repeat_ts_same_digest
how-we.html	20240914130810	TMOKKS37XPQE5O7QGF3HKCALZ46NL7YJ	https://www.moonsighting.com/how-we.html	fetched	200	none	10909	4940	
how-we.html	20250121123418	2HTT7QUOF7O5KPWY5ABRGAKW5FFJADID	https://moonsighting.com/how-we.html	fetched	200	none	19194	8330	20250514050848,20260419144819,20260608043238
how-we.html	20250304071531	JF5BHRGQPRFJJRAIYZRR77ORKGM2KW3O	https://moonsighting.com/how-we.html	disk	-	none	19194	8459	20250329225717
how-we.html	20250307182749	NUCQZYU2BDTSYKBYFOXJSOOZYU74NWW4	https://www.moonsighting.com/how-we.html	fetched	200	gzip	11881	5935	
how-we.html	20250307202431	L5BHW3XSB3FWW7IMZXC4DFR5CQTR6Y4Z	https://moonsighting.com/how-we.html	fetched	200	gzip	19194	8212	20250330003602,20251012160121
how-we.html	20250527073128	MBQPERCXWV5JPAE6HHZJYX32BDM5GJNM	https://moonsighting.com/how-we.html	fetched	200	gzip	12067	6286	
how-we.html	20250714212810	MR5UFW4YAADH6B6MN5PQ774T55GJYKR3	https://www.moonsighting.com/how-we.html	fetched	200	none	11808	5818	
how-we.html	20260129052031	6FCCN55VMEE56YMVX67YFNED6E6UVIKO	https://moonsighting.com/how-we.html	fetched	200	gzip	19194	8507	
how-we.html	20260502180530	VVD5MLUEMXFU2EISR4NMGHRFVTB2NG3Y	https://www.moonsighting.com/how-we.html	disk	-	none	19194	8784	20260721030743
faq_pt.html	20030629145054	RV7CDW3FUX5XFTZL2JJQ35VNYHIR6CCF	http://moonsighting.com:80/faq_pt.html	disk	-	none	27385	10136	
faq_pt.html	20031217090750	LEPBP7NAYLWR4ZYRFBMJQ75N73NLRPU5	http://moonsighting.com:80/faq_pt.html	fetched	200	none	24148	9279	
faq_pt.html	20041015201948	OB5CKWVMHJLMVDMRIBQCGV54QG2DYW3M	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	29894	11033	
faq_pt.html	20060209140551	7UKBXZQ34HSHEBV42JLRS3ZT4U7EB3KP	http://moonsighting.com:80/faq_pt.html	fetched	200	none	28083	10399	
faq_pt.html	20060514025325	QOWWVWRBYKZDDQRPAZTHXPTYFUQBD3WA	http://www.moonsighting.com/faq_pt.html	fetched	200	none	30594	11117	
faq_pt.html	20061119055937	MAPK63XSIAT2XLBJPPNJM65EDCX4FANN	http://www.moonsighting.com/faq_pt.html	fetched	200	none	30887	11165	
faq_pt.html	20070202042717	PFFDEUILEJ66PAZJBMQSDOGN6LJVTEGF	http://moonsighting.com:80/faq_pt.html#G1	fetched	200	none	30830	11169	
faq_pt.html	20070329131450	A6FL6BPW57NRGYRWQBIYGSYI5CI3N7EP	http://moonsighting.com:80/faq_pt.html	fetched	200	none	30726	11217	
faq_pt.html	20070618135626	4O3OSS2ZIBQE77ASED4GGLEE76RQ5ZSN	http://moonsighting.com:80/faq_pt.html	fetched	200	none	32640	11962	
faq_pt.html	20080127115352	UGQJIVBZ5LLVFKZM2H7PEBVAHORP25E6	http://www.moonsighting.com:80/faq_pt.html#Z3	fetched	200	none	32668	11979	
faq_pt.html	20081119135740	U223FELWVZJMLWETBZVQFHF4XLPYMTWK	http://moonsighting.com/faq_pt.html	disk	-	none	33146	12360	
faq_pt.html	20090827110145	Y2VB53D5NIKT7B5TVJBSSAFDVR2X42YM	http://moonsighting.com:80/faq_pt.html	fetched	200	none	32911	12019	
faq_pt.html	20111123194416	CSTC53GL6TNL24LQXYKBWETKEXDB4GAD	http://moonsighting.com:80/faq_pt.html	fetched	200	none	33798	12344	
faq_pt.html	20120211201201	WAT7DEPCL27O3LNZIIP3WGRSZBCPIBUQ	http://moonsighting.com:80/faq_pt.html	fetched	200	none	33799	12342	
faq_pt.html	20120419010614	NYETS6J7JNLKFI2LD5V56XZH4FUUA7TZ	http://moonsighting.com:80/faq_pt.html	fetched	200	none	33803	12346	
faq_pt.html	20121205081238	2Q5D7LA344SBE7SI5PAPPHNKYZSD3PDZ	http://moonsighting.com:80/faq_pt.html	disk	-	none	35093	12837	
faq_pt.html	20130314055605	TE7BDY5HMKXJI35DVBEQPAUARPNWBOU5	http://moonsighting.com:80/faq_pt.html	fetched	200	none	35443	12872	
faq_pt.html	20140208105631	SH7MDAROQ6GWCLRCZLTJWSIFWJDL375A	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	34291	12202	
faq_pt.html	20141214095206	MSSIKGN3DFRKGC7RK6FDOMSTWSE2QVNX	http://www.moonsighting.com:80/faq_pt.html	fetched	200	none	34422	12283	
